10,1000000,50,0,0.4,6
10,1000000,-50,0,0.4,-6
2,200,-200,0,0,-9.5
2,200,-210,0,0,-9.5
2,200,-220,0,0,-9.5
2,200,-230,0,0,-9.5
2,200,-240,0,0,-9.5
2,200,-250,0,0,-9.5
2,200,-260,0,0,-9.5
2,200,-270,0,0,-9.5
2,200,-280,0,0,-9.5
2,200,-290,0,0,-9.5
2,200,-300,0,0,-9.5
2,200,-310,0,0,-9.5
2,200,-320,0,0,-9.5
2,200,-330,0,0,-9.5
2,200,-340,0,0,-9.5
2,200,-350,0,0,-9.5
2,200,-360,0,0,-9.5
2,200,200,0,0,9.5
2,200,210,0,0,9.5
2,200,220,0,0,9.5
2,200,230,0,0,9.5
2,200,240,0,0,9.5
2,200,250,0,0,9.5
2,200,260,0,0,9.5
2,200,270,0,0,9.5
2,200,280,0,0,9.5
2,200,290,0,0,9.5
2,200,300,0,0,9.5
2,200,310,0,0,9.5
2,200,320,0,0,9.5
2,200,330,0,0,9.5
2,200,340,0,0,9.5
2,200,350,0,0,9.5
2,200,360,0,0,9.5
2,200,370,0,0,9.5
2,200,380,0,0,9.5
2,200,390,0,0,9.5
2,200,400,0,0,9.5
2,200,410,0,0,9.5
2,200,420,0,0,9.5
2,200,430,0,0,9.5
2,200,440,0,0,9.5
2,200,450,0,0,9.5
2,200,460,0,0,9.5
2,200,470,0,0,9.5
2,200,480,0,0,9.5
2,200,490,0,0,9.5
2,200,500,0,0,9.5
2,200,510,0,0,9.5
2,200,520,0,0,9.5
2,200,530,0,0,9.5
2,200,540,0,0,9.5
2,200,550,0,0,9.5
2,200,560,0,0,9.5
2,200,570,0,0,9.5
2,200,580,0,0,9.5
5,5000,0,300,-8,0
